# minFrequency, maxFrequency, mode, step, color, name

# my Version: 0.00.001 alpha
### Region 1 ###
# 2019-12-02
# https://www.bundesnetzagentur.de/DE/Sachgebiete/Telekommunikation/Unternehmen_Institutionen/Frequenzen/Grundlagen/Frequenzplan/frequenzplan-node.html
#
# https://www.darc.de/fileadmin/filemounts/referate/hf/Region_1_Bandplan_2Seiten_farbig_deutsch_01Juni2016_neu.pdf
#
# https://www.darc.de/der-club/referate/vus/bandplaene/
################
# Color explanation:
# red | #90FF0000 | Protected. Do not transmit on these frequencies! 
#
################

# Amateurfunk
135700,       137800,       CW,          200, #90009470, 2200m Ham
472000,       475000,       CW,          200, #90009470, 630m Ham
475000,       479000,       DIGI,         10, #90009470, 630m Ham
1810000,     1838000,       CW,          200, #90009470, 160m Ham
1838000,     1840000,       DIGI,        500, #90009470, 160m Ham
1840000,     1843000,       ALL,        2700, #90009470, 160m Ham
1843000,     2000000,       ALL,        2700, #90009470, 160m Ham
3500000,     3570000,       CW,          200, #90009470, 80m Ham
3570000,     3580000,       DIGI,        200, #90009470, 80m Ham
3580000,     3600000,       DIGI,        500, #90009470, 80m Ham
3600000,     3800000,       ALL,        2700, #90009470, 80m Ham
5351500,     5354000,       CW,          200, #90009470, 60m Ham
5354000,     5366000,       ALL,        2700, #90009470, 60m Ham
5366000,     5366500,       ALL,          20, #90009470, 60m Ham
7000000,     7040000,       CW,          200, #90009470, 40m Ham
7040000,     7050000,       DIGI,        500, #90009470, 40m Ham
7050000,     7200000,       ALL,        2700, #90009470, 40m Ham
10100000,   10130000,       CW,          200, #90009470, 30m Ham
10130000,   10150000,       DIGI,        500, #90009470, 30m Ham
14000000,   14070000,       CW,          200, #90009470, 20m Ham
14070000,   14099000,       DIGI,        500, #90009470, 20m Ham
14099000,   14101000,       NOT,          10, #90FF0000, 20m Beacon
14101000,   14350000,       ALL,        2700, #90009470, 20m Ham
18068000,   18095000,       CW,          200, #90009470, 17m Ham
18095000,   18109000,       DIGI,        500, #90009470, 17m Ham
18109000,   18111000,       NOT,          10, #90FF0000, 17m Beacon
18111000,   18168000,       ALL,        2700, #90009470, 17m Ham
21000000,   21070000,       CW,          200, #90009470, 15m Ham
21070000,   21110000,       DIGI,        500, #90009470, 15m Ham
21110000,   21120000,       DIGI,       2700, #90009470, 15m Ham [No SSB]
21120000,   21149000,       DIGI,        500, #90009470, 15m Ham
21149000,   21151000,       NOT,          10, #90FF0000, 15m Beacon
21151000,   21450000,       ALL,        2700, #90009470, 15m Ham
24890000,   24915000,       CW,          200, #90009470, 12m Ham
24915000,   24929000,       DIGI,        500, #90009470, 12m Ham
24929000,   24931000,       NOT,          10, #90FF0000, 12m Beacon
24931000,   24990000,       ALL,        2700, #90009470, 12m Ham
28000000,   28070000,       CW,          200, #90009470, 10m Ham
28070000,   28190000,       DIGI,        500, #90009470, 10m Ham
28190000,   28225000,       NOT,          10, #90FF0000, 10m Beacon
28225000,   29000000,       ALL,        2700, #90009470, 10m Ham
29000000,   29300000,       ALL,        6000, #90009470, 10m Ham
29300000,   29510000,       SAT,        6000, #90009470, 10m Ham
29510000,   29520000,       NOT,          10, #90FF0000, 10m Protected
29520000,   29700000,       ALL,        6000, #90009470, 10m Ham
50000000,   50030000,       NOT,          10, #90FF0000, 6m Beacon 
50030000,   50100000,       CW,          500, #90009470, 6m Ham
50100000,   50400000,       ALL,        2700, #90009470, 6m Ham
50400000,   50500000,       ALL,       10000, #90009470, 6m Ham
50500000,   51000000,       ALL,       12000, #90009470, 6m Ham
51000000,   52000000,       ALL,       12000, #90009470, 6m Ham
144000000, 144150000,       CW,          500, #90009470, 2m Ham
144150000, 144399000,       ALL,        2700, #90009470, 2m Ham
144400000, 144490000,       NOT,          10, #90FF0000, 2m Beacon
144490000, 144500000,       NOT,          10, #90FF0000, 2m Protected
144500000, 144794000,       ALL,       20000, #90009470, 2m Ham
144794000, 146000000,       ALL,       12500, #90009470, 2m Ham
430000000, 440000000,       ALL,       12500, #90009470, 70cm Ham

# Broadcast
148500,       283500,        AM,         9000, #902E98BB, LW Radio Broadcast
## Medium Wave Region 1
526500,      1606500,        AM,         9000, #902E98BB, MW Radio Broadcast
### Medium Wave Region 2
#530000,      1720000,  AM,  10000, #902E98BB, MW Radio Broadcast
## Short Wave
2300000,     2495000,        AM,      5000, #902E98BB, 120m Radio Broadcast
3200000,     3400000,        AM,      5000, #902E98BB, 90m Radio Broadcast
3900000,     4000000,        AM,      5000, #902E98BB, 75m Radio Broadcast
4750000,     5060000,        AM,      5000, #902E98BB, 60m Radio Broadcast
5900000,     6200000,        AM,      5000, #902E98BB, 49m Radio Broadcast
7200000,     7450000,        AM,      5000, #902E98BB, 41m Radio Broadcast
9400000,     9900000,        AM,      5000, #902E98BB, 31m Radio Broadcast
11600000,   12100000,        AM,      5000, #902E98BB, 25m Radio Broadcast
13570000,   13870000,        AM,      5000, #902E98BB, 22m Radio Broadcast
15100000,   15800000,        AM,      5000, #902E98BB, 19m Radio Broadcast
17480000,   17900000,        AM,      5000, #902E98BB, 16m Radio Broadcast
18800000,   19020000,        AM,      5000, #902E98BB, 15m Radio Broadcast
21450000,   21850000,        AM,      5000, #902E98BB, 13m Radio Broadcast
25670000,   26100000,        AM,      5000, #902E98BB, 11m Radio Broadcast
## UKW WFM
87500000,  108000000,       WFM,    100000, #902E98BB, UKW Radio Broadcast
## DAB
174000000, 230000000,       DAB, 153600000, #902E98BB, DAB Radio Broadcast


## ISM ###
6765000,        6795000,        ??,        10, #9000EEEE, Short Range Devices
13553000,      13567000,        ??,        10, #9000EEEE, Short Range Devices
26565000,      26955000,        FM,     10000, #9000EEEE, CB National D
26965000,      27405000, AM/FM/SSB,     10000, #9000EEEE, CB CEPT  
27601250,      27991250,        FM,     10000, #9000EEEE, CB National UK
40660000,      40700000,        ??,        10, #9000EEEE, Short Range Devices
149025000,    149112500,        FM,     12500, #9000EEEE, Freenet
433050000,    434790000,        ??,        10, #9000EEEE, Short Range Devices
446000000,    446200000,       NFM,      6250, #9000EEEE, PMR446
469990000,    469990000,        ??,        10, #9000EEEE, Funkfinger
863000000,    870000000,       WFM,        10, #9000EEEE, Audio SRD
1880000000,  1900000000,        ??,        10, #9000EEEE, DECT  


# USA Amateur Radio
#135700,       137800,       CW,  10, #90009470, 2200m Ham Band
#472000,       479000,       CW,  10, #90009470, 630m Ham Band
#1800000,      2000000,      CW,  10, #90009470, 160m Ham Band
#3500000,      3600000,      CW,  10, #90009470, 80m CW/Data Ham Band
#3600000,      4000000,      CW,  10, #90009470, 80m Phone Ham Band
#5351500,      5366500,      USB, 10, #90009470, 60m Ham Band
#7000000,      7125000,      CW,  10, #90009470, 40m CW/Data Ham Band
#7125000,      7300000,      LSB, 10, #90009470, 40m Phone Ham Band
#10100000,     10150000,     CW,  10, #90009470, 30m CW/Data Ham Band
#14000000,     14150000,     CW,  10, #90009470, 20m CW/Data Ham Band
#14150000,     14350000,     USB, 10, #90009470, 20m Phone Ham Band
#18068000,     18110000,     CW,  10, #90009470, 17m CW/Data Ham Band
#18110000,     18168000,     USB, 10, #90009470, 17m Ham Band
#21000000,     21200000,     CW,  10, #90009470, 15m CW/Data Ham Band
#21200000,     21450000,     USB, 10, #90009470, 15m Ham Band
#24890000,     24930000,     CW,  10, #90009470, 12m CW/Data Ham Band
#24930000,     24990000,     USB, 10, #90009470, 12m Ham Band
#28000000,     28300000,     CW,  10, #90009470, 10m CW/Data Ham Band
#28300000,     29700000,     USB, 10, #90009470, 10m Ham Band
#50000000,     50100000,     CW,  10, #90009470, 6m CW/Data Ham Band
#50100000,     54000000,     USB, 10, #90009470, 6m Ham Band
#144000000,    144100000,    CW,  10, #90009470, 2m CW/Data Ham Band
#144100000,    148000000,    NFM, 10, #90009470, 2m Ham Band
#222000000,    225000000,    NFM, 10, #90009470, 1.25m Ham Band
#420000000,    450000000,    NFM, 10, #90009470, 70cm Ham Band
#902000000,    928000000,    NFM, 10, #90009470, 33cm Ham Band
#1240000000,   1300000000,   NFM, 10, #90009470, 22cm Ham Band
#2300000000,   2310000000,   NFM, 10, #90009470, GHz Ham Band
#2390000000,   2450000000,   NFM, 10, #90009470, GHz Ham Band
#3300000000,   3500000000,   NFM, 10, #90009470, GHz Ham Band
#5650000000,   5925000000,   NFM, 10, #90009470, GHz Ham Band
#10000000000,  10500000000,  NFM, 10, #90009470, GHz Ham Band
#24000000000,  24250000000,  NFM, 10, #90009470, GHz Ham Band
#47000000000,  47200000000,  NFM, 10, #90009470, GHz Ham Band
#77000000000,  81000000000,  NFM, 10, #90009470, GHz Ham Band
#122250000000, 123000000000, NFM, 10, #90009470, GHz Ham Band
#134000000000, 141000000000, NFM, 10, #90009470, GHz Ham Band
#241000000000, 250000000000, NFM, 10, #90009470, GHz Ham Band

# Radionavigation - Source: https://www.ntia.doc.gov/files/ntia/publications/2003-allochrt.pdf
9000,         14000,        USB, 10, #30AABD26, Radionavigation
90000,        110000,       USB, 10, #30AABD26, Radionavigation
190000,       200000,       USB, 10, #30C05017, Aeronautical Radionavigation
200000,       275000,       USB, 10, #30C05017, Aeronautical Radionavigation
275000,       285000,       USB, 10, #304C8E75, Maritime Radionavigation (Radio Beacons)
275000,       285000,       USB, 10, #30C05017, Aeronautical Radionavigation
285000,       300000,       USB, 10, #30C05017, Aeronautical Radionavigation (Radio Beacons)
285000,       300000,       USB, 10, #304C8E75, Maritime Radionavigation (Radio Beacons)
300000,       325000,       USB, 10, #30C05017, Aeronautical Radionavigation (Radio Beacons)
300000,       325000,       USB, 10, #304C8E75, Maritime Radionavigation (Radio Beacons)
325000,       335000,       USB, 10, #30C05017, Aeronautical Radionavigation (Radio Beacons)
325000,       335000,       USB, 10, #304C8E75, Maritime Radionavigation (Radio Beacons)
335000,       405000,       USB, 10, #30C05017, Aeronautical Radionavigation (Radio Beacons)
405000,       415000,       USB, 10, #30AABD26, Radionavigation
415000,       495000,       USB, 10, #30C05017, Aeronautical Radionavigation
510000,       535000,       USB, 10, #30C05017, Aeronautical Radionavigation (Radio Beacons)
74800000,     75200000,     USB, 10, #30C05017, Aeronautical Radionavigation
328600000,    335400000,    USB, 10, #30C05017, Aeronautical Radionavigation
399900000,    400050000,    USB, 10, #30E9EB7C, Radionavigation Satellite
960000000,    1215000000,   USB, 10, #30C05017, Aeronautical Radionavigation
1215000000,   1240000000,   USB, 10, #30E9EB7C, Radionavigation Satellite
1300000000,   1350000000,   USB, 10, #30C05017, Aeronautical Radionavigation
1559000000,   1610000000,   USB, 10, #30E9EB7C, Radionavigation Satellite (Space to Earth)
1559000000,   1626500000,   USB, 10, #30C05017, Aeronautical Radionavigation
2700000000,   2900000000,   USB, 10, #30C05017, Aeronautical Radionavigation
2900000000,   3100000000,   USB, 10, #304C8E75, Maritime Radionavigation
3500000000,   3650000000,   USB, 10, #30C05017, Aeronautical Radionavigation (Ground)
4200000000,   4400000000,   USB, 10, #30C05017, Aeronautical Radionavigation
5000000000,   5250000000,   USB, 10, #30C05017, Aeronautical Radionavigation
5350000000,   5460000000,   USB, 10, #30C05017, Aeronautical Radionavigation
5460000000,   5470000000,   USB, 10, #30AABD26, Radionavigation
5470000000,   5650000000,   USB, 10, #304C8E75, Maritime Radionavigation
9000000000,   9200000000,   USB, 10, #30C05017, Aeronautical Radionavigation
9200000000,   9300000000,   USB, 10, #304C8E75, Maritime Radionavigation
9300000000,   9500000000,   USB, 10, #30AABD26, Radionavigation
13250000000,  13400000000,  USB, 10, #30C05017, Aeronautical Radionavigation
14000000000,  14200000000,  USB, 10, #30AABD26, Radionavigation
15400000000,  15700000000,  USB, 10, #30C05017, Aeronautical Radionavigation
24450000000,  24650000000,  USB, 10, #30AABD26, Radionavigation
24750000000,  25050000000,  USB, 10, #30AABD26, Radionavigation
31800000000,  33400000000,  USB, 10, #30AABD26, Radionavigation
45500000000,  47000000000,  USB, 10, #30E9EB7C, Radionavigation Satellite
66000000000,  71000000000,  USB, 10, #30AABD26, Radionavigation
66000000000,  71000000000,  USB, 10, #30E9EB7C, Radionavigation Satellite
95000000000,  100000000000, USB, 10, #30AABD26, Radionavigation
95000000000,  100000000000, USB, 10, #30E9EB7C, Radionavigation Satellite
134000000000, 142000000000, USB, 10, #30E9EB7C, Radionavigation Satellite
134000000000, 142000000000, USB, 10, #30AABD26, Radionavigation
190000000000, 200000000000, USB, 10, #30E9EB7C, Radionavigation Satellite
190000000000, 200000000000, USB, 10, #30AABD26, Radionavigation
252000000000, 265000000000, USB, 10, #30E9EB7C, Radionavigation Satellite
252000000000, 265000000000, USB, 10, #30AABD26, Radionavigation

# Broadcast
#54000000,  72000000,  AM,  10, #902E98BB, Broadcast Television
#76000000,  088000000, AM,  10, #902E98BB, Broadcast Television
#88000000,  108000000, WFM, 10, #902E98BB, Broadcast Radio
#174000000, 216000000, AM,  10, #902E98BB, Broadcast Television
#470000000, 512000000, AM,  10, #902E98BB, Broadcast Television
#512000000, 608000000, AM,  10, #902E98BB, Broadcast Television
#614000000, 698000000, AM,  10, #902E98BB, Broadcast Television
#698000000, 763000000, AM,  10, #902E98BB, Broadcast Television

# Other
#108000000, 118000000, AM,   5000, #906600FF, Air Band VOR/ILS
#118000000, 137000000, AM,   5000, #900000FF, Air Band Voice
#26960000,   27410000, AM,   5000, #90FF0000, CB
